"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1225952591","ACUARELA ENTERPRISES","21229 GLENORA DR","","APPLE VALLEY","CA","923085850","7608818968","","2026-08-07","2026-08-07","Marriage and family therapist","106H00000X","NELCY TAMAYO MANRIQUE","THERAPIST","7608818968"
"1669396941","MICHELLE DURHAM, LPC","1219 E SOUTH 11TH ST STE B-1","","ABILENE","TX","796024283","3257957500","","2026-08-07","2026-08-07","Mental health counselor","101YM0800X","MICHELLE DURHAM","OWNER","3253707479"
"1831012301","CAPE CORAL COUNSELING PROFESSIONALS, LLC","5793 CAPE HARBOUR DR APT 1114","","CAPE CORAL","FL","339148643","9784090391","","2026-08-03","2026-08-03","Mental health counselor","101YM0800X","KAREN LECLAIRE","OWNER","9784090391"
"1184547366","CHARLIE'S LIGHT COUNSELING, PLLC","303-B NC HIGHWAY 740 BYPASS EAST","","ALBEMARLE","NC","28001","9105714789","","2026-08-03","2026-08-03","Mental health clinic","261QM0801X","AMY WARD","OWNER","9105714789"
"1134043318","CEDARWOOD COUNSELING AND WELLNESS","1229 CORNWALL AVE STE 207B","","BELLINGHAM","WA","982255023","3603056790","","2026-08-08","2026-08-08","Mental health counselor","101YM0800X","JAMIE ROSS","OWNER","3603056790"
"1023932092","EPIC MINDS THERAPY AK LLC","205 E BENSON BLVD STE 119D","","ANCHORAGE","AK","995034019","8559953742","7432192148","2026-08-04","2026-08-04","Community / behavioral health","251S00000X","JOEL FRIED","CEO","8559953742"
"1215851019","MOON RIVER EVOLUTION, LLC","3840 RIDGEWAY DR","","BIRMINGHAM","AL","352095506","2054105610","","2026-08-05","2026-08-05","Mental health counselor","101YM0800X","PATTY CUSICK","MENTAL HEALTH COUNSELOR","2054105610"
"1548183981","PSYCHIATRY OF TEXAS PLLC","4301 GREATHOUSE SPRINGS RD","","JOHNSON","AR","72741","8328694818","8322412902","2026-08-03","2026-08-03","Mental health counselor","101YM0800X","FAISAL TAI","AUTHORIZED OFFICIAL","8328694818"
"1437072451","KEITH B. REYES, PLLC","90 S KYRENE RD STE 4","","CHANDLER","AZ","852264687","4808687082","","2026-08-04","2026-08-04","Mental health counselor","101YM0800X","KEITH REYES","OWNER","4808687082"
"1366366791","BOOKWORM EDUCATIONAL & PSYCHOLOGICAL SERVICES INC.","301 W HUNTINGTON DR STE 415","","ARCADIA","CA","910071506","3234495668","","2026-08-07","2026-08-07","Behavior analyst","103K00000X","LUCIA SERIO","OWNER/ LICENSED EDUCATIONAL PSYCH","3234495668"
"1548183551","PARADIGM RECOVERY LLC","14707 E 2ND AVE STE 250","","AURORA","CO","800118913","7209890025","","2026-08-04","2026-08-04","Adult mental health clinic","261QM0850X","YEVGENIY SHVEDOV","DIRECTOR","7209890025"
"1669396289","SIMPLY COMPLEX COUNSELING & CONSULTATION LLC","1176 FARMINGTON AVENUE","","BERLIN","CT","060372302","8607166246","","2026-08-06","2026-08-06","Professional counselor","101YP2500X","ELIZABETH HRUBIEC RETANO","PROFESSIONAL COUNSELOR","8602091231"
"1134043151","JUDITH WIDES LLC","649 C ST SE APT 308","","WASHINGTON","DC","200034329","7323977544","","2026-08-05","2026-08-05","Marriage and family therapist","106H00000X","JUDITH WIDES","DIRECTOR","7323977544"
"1760306641","MILESTONES ABA LLC","200 CONTINENTAL DR","","NEWARK","DE","197134334","7184079755","7184079755","2026-08-05","2026-08-05","Community / behavioral health","251S00000X","SHMUEL STEFANSKY","OWNER","7184079755"
"1871417378","IN VIA BEHAVIORAL HEALTH LLC","2820 ARMSTRONG AVE","","CLERMONT","FL","347148100","3852321869","","2026-08-06","2026-08-06","Mental health counselor","101YM0800X","SAMUEL MCDONNELL","OWNER/PSYCHOTHERAPIST","3852321869"
